Broad subject;Category / Contentious sector;(Sub-Category);Category Conceptual Definition;Sub-Category Conceptual Definition;Key NLP words targets;Key interests / key lobbies;;;;
Climate & Biodiversity;AGRICULTURE AND FOOD SYSTEMS;Sustainable agricultural intensification and crop production;A major structuring sector for SDG 2 and the primary driver of land-use change according to IPBES,. The IPCC AR6 integrates it into the AFOLU (Agriculture, Forestry and Other Land Use) sector, highlighting the complex interactions between greenhouse gas emissions and global food security,.;Implementation of resilient agricultural practices and sustainable food production systems that increase productivity while maintaining ecosystems.;"""sustainable agricultural intensification"", ""agricultural productive capacity"", ""crop yield stability"", ""resilient agricultural practices"", ""crop wild relatives"", ""plant gene banks"", ""food security nutrition"", ""FAO"", ""Committee on World Food Security"", ""Rome Declaration on Nutrition"", ""SDG 2.4"", ""CGIAR"", ""biotech debate"", ""industrial agriculture expansion"", ""corporate seed control"", ""yield gap"", ""technological lock-in""";Agribusinesses, agricultural research institutions, crop producers, and food processors.;;;;
Climate & Biodiversity;AGRICULTURE AND FOOD SYSTEMS;Efficient and sustainable livestock systems;A major structuring sector for SDG 2 and the primary driver of land-use change according to IPBES,. The IPCC AR6 integrates it into the AFOLU (Agriculture, Forestry and Other Land Use) sector, highlighting the complex interactions between greenhouse gas emissions and global food security,.;Management of animal-based food systems to reduce GHG emissions and land footprint while ensuring animal welfare and productivity.;"""livestock systems efficiency"", ""enteric fermentation"", ""animal husbandry"", ""pastoralist development"", ""silvopastoral systems"", ""livestock methane emissions"", ""manure management"", ""OIE World Organisation for Animal Health"", ""Global Agenda for Sustainable Livestock"", ""ILRI"", ""LEAP Partnership"", ""International Livestock Research Institute"", ""factory farming"", ""meat tax"", ""overgrazing degradation"", ""livestock-driven deforestation"", ""animal welfare ethics""";Livestock producers, meat industry, animal welfare NGOs, and veterinary services.;;;;
Climate & Biodiversity;AGRICULTURE AND FOOD SYSTEMS;Agroecology and regenerative practices;A major structuring sector for SDG 2 and the primary driver of land-use change according to IPBES,. The IPCC AR6 integrates it into the AFOLU (Agriculture, Forestry and Other Land Use) sector, highlighting the complex interactions between greenhouse gas emissions and global food security,.;Use of agricultural methods that work with natural processes, such as soil carbon sequestration and biodiversity-friendly management.;"""agroecology"", ""regenerative agriculture"", ""soil carbon sequestration"", ""multifunctional landscape planning"", ""agrobiodiversity"", ""traditional management practices"", ""soil organic carbon"", ""Via Campesina"", ""Nagoya Protocol"", ""IPBES Indigenous Knowledge Task Force"", ""IFOAM Organics International"", ""Global Soil Partnership"", ""traditional-vs-industrial"", ""greenwashing agroecology"", ""carbon farming verification"", ""land-grabbing"", ""yield trade-offs""";Smallholder farmers, agroecological networks, conservation NGOs, and organic certifiers.;;;;
Climate & Biodiversity;AGRICULTURE AND FOOD SYSTEMS;Food loss and waste reduction;A major structuring sector for SDG 2 and the primary driver of land-use change according to IPBES,. The IPCC AR6 integrates it into the AFOLU (Agriculture, Forestry and Other Land Use) sector, highlighting the complex interactions between greenhouse gas emissions and global food security,.;Measures to reduce per capita global food waste at retail and consumer levels and food losses along production and supply chains.;"""food waste reduction"", ""post-harvest losses"", ""per capita food waste"", ""supply chain efficiency"", ""retail food waste"", ""consumer food waste"", ""food value chains"", ""SDG 12.3"", ""Champions 12.3"", ""Save Food Initiative"", ""Food Loss Index"", ""WRAP"", ""retailer accountability"", ""ugly veg stigma"", ""expiration date confusion"", ""dumpster diving"", ""waste-to-energy debate""";Retailers, logistics companies, consumer advocacy groups, and waste management sectors.;;;;
Climate & Biodiversity;AGRICULTURE AND FOOD SYSTEMS;Nutrient and pesticide management;A major structuring sector for SDG 2 and the primary driver of land-use change according to IPBES,. The IPCC AR6 integrates it into the AFOLU (Agriculture, Forestry and Other Land Use) sector, highlighting the complex interactions between greenhouse gas emissions and global food security,.;Regulation and reduction of harmful chemical inputs in agriculture to prevent water/soil pollution and biodiversity loss while managing emissions.;"""pesticides"", ""integrated pest management"", ""nutrient pollution"", ""synthetic fertilizers"", ""non-point source pollution"", ""agricultural runoff"", ""eutrophication"", ""Stockholm Convention"", ""Rotterdam Convention"", ""REACH regulation"", ""Codex Alimentarius"", ""Pesticide Action Network"", ""bee-killing pesticides"", ""chemical fertilizer impact"", ""pesticide treadmill"", ""toxic legacy sites"", ""chemical lobby""";Chemical industry, farmers, environmental health agencies, and water management authorities.;;;;
Climate & Biodiversity;AGRICULTURE AND FOOD SYSTEMS;Irrigation and agricultural water management;A major structuring sector for SDG 2 and the primary driver of land-use change according to IPBES,. The IPCC AR6 integrates it into the AFOLU (Agriculture, Forestry and Other Land Use) sector, highlighting the complex interactions between greenhouse gas emissions and global food security,.;Integrated management of surface and groundwater for agriculture to ensure efficiency and status of aquatic ecosystems.;"""agricultural irrigation"", ""on-farm water management"", ""water-use efficiency"", ""sustainable freshwater withdrawals"", ""aquifer recharge"", ""conjunctive water use"", ""desalination"", ""UN-Water"", ""Global Water Partnership"", ""IWMI"", ""SDG 6.4"", ""International Commission on Irrigation and Drainage"", ""groundwater over-abstraction"", ""water-rights conflict"", ""dam-induced fragmentation"", ""drought-resilience gap"", ""irrigation-vs-biodiversity trade-offs""";Irrigation districts, water utility companies, hydrologists, and rural communities.;;;;
Climate & Biodiversity;FORESTRY AND LAND USE;Forest conservation and avoided deforestation;Treated as a critical lever for carbon sinks in Article 10 of the EU Taxonomy and by the IPCC,. It is a central management axis for both IPBES and SDG 15 regarding the sustainable management of terrestrial ecosystems and the fight against land degradation,,.;Protection of existing forest ecosystems and high-carbon stocks to prevent greenhouse gas emissions and safeguard biodiversity.;"""avoided deforestation"", ""primary forest protection"", ""old-growth forest preservation"", ""high-carbon ecosystem conservation"", ""forest conversion prevention"", ""halting deforestation"", ""tropical forest integrity"", ""REDD+"", ""Amazon Fund"", ""COP21 Forest Goals"", ""IUCN Green List"", ""Convention on Biological Diversity"", ""land tenure insecurity"", ""conservation-driven displacement"", ""illegal logging syndicates"", ""carbon credit leakage"", ""protected area encroachment""";National parks services, indigenous peoples, conservation NGOs, and global climate funds.;;;;
Climate & Biodiversity;FORESTRY AND LAND USE;Reforestation, afforestation, and ecological restoration;Treated as a critical lever for carbon sinks in Article 10 of the EU Taxonomy and by the IPCC,. It is a central management axis for both IPBES and SDG 15 regarding the sustainable management of terrestrial ecosystems and the fight against land degradation,,.;Large-scale planting of trees and restoration of degraded lands to enhance carbon sinks, involving trade-offs regarding species choice and land competition.;"""afforestation"", ""reforestation"", ""ecological restoration"", ""native species replanting"", ""assisted natural regeneration"", ""landscape rewilding"", ""forest landscape restoration"", ""Bonn Challenge"", ""UN Decade on Ecosystem Restoration"", ""Global Partnership on Forest and Landscape Restoration"", ""New York Declaration on Forests"", ""Trillion Trees Initiative"", ""monoculture plantation risk"", ""non-native invasive species"", ""land competition for food"", ""greenwashing plantations"", ""tree planting failure""";Timber companies, restoration agencies, environmental NGOs, and carbon offset developers.;;;;
Climate & Biodiversity;FORESTRY AND LAND USE;Sustainable forest management and certified logging;Treated as a critical lever for carbon sinks in Article 10 of the EU Taxonomy and by the IPCC,. It is a central management axis for both IPBES and SDG 15 regarding the sustainable management of terrestrial ecosystems and the fight against land degradation,,.;Stewardship of forest land that maintains biodiversity and regeneration capacity while providing long-lived wood products for material substitution.;"""sustainable forest management"", ""reduced impact logging"", ""certified timber production"", ""long-lived wood products"", ""forest regeneration capacity"", ""sustainable harvesting rates"", ""stewardship of forest land"", ""FSC certification"", ""PEFC standards"", ""EU Timber Regulation"", ""FLEGT Action Plan"", ""International Tropical Timber Organization"", ""industrial logging greenwashing"", ""old-growth timber trade"", ""logging-road fragmentation"", ""unsustainable harvest intensity"", ""certification integrity gaps""";Forestry industry, timber manufacturers, architects using bio-based materials, and certification bodies.;;;;
Climate & Biodiversity;FORESTRY AND LAND USE;Peatland, wetland, and coastal ecosystem conservation;Treated as a critical lever for carbon sinks in Article 10 of the EU Taxonomy and by the IPCC,. It is a central management axis for both IPBES and SDG 15 regarding the sustainable management of terrestrial ecosystems and the fight against land degradation,,.;Targeted management of high-carbon water-based ecosystems to provide immediate climate benefits and essential ecosystem services.;"""peatland restoration"", ""wetland conservation"", ""mangrove forest protection"", ""blue carbon sequestration"", ""coastal ecosystem management"", ""seagrass meadow preservation"", ""high-carbon stocks preservation"", ""Ramsar Convention"", ""Blue Carbon Initiative"", ""Wetlands International"", ""Global Peatlands Initiative"", ""Mangroves for the Future"", ""coastal development pressure"", ""drainage for agriculture"", ""peat-land fire weather"", ""aquaculture conversion impacts"", ""measuring blue carbon uncertainty""";Coastal management authorities, wetland conservation groups, blue carbon investors, and indigenous communities.;;;;
Climate & Biodiversity;MINING AND RESOURCE EXTRACTION;Extraction of critical minerals for the energy transition;Identified in the IPBES assessment as a driver of nature degradation and included in the EU Taxonomy regarding the management of mining waste,. It presents a critical trade-off regarding the extraction of minerals necessary for the energy transition.;Mining of essential materials (lithium, cobalt, rare earths) for low-carbon technologies, posing significant risks of habitat fragmentation and pollution.;"""critical minerals extraction"", ""lithium brine mining"", ""rare earth elements"", ""cobalt supply chain"", ""transition mineral mining"", ""high-grade ore processing"", ""nickel sulfide extraction"", ""Critical Raw Materials Act"", ""International Energy Agency"", ""Responsible Minerals Initiative"", ""Energy Resource Governance Initiative"", ""OECD Mineral Guidelines"", ""deep-sea mining"", ""resource curse"", ""transition mineral rush"", ""indigenous land rights"", ""habitat fragmentation""";Mining corporations, battery supply chain actors, indigenous groups, and environmental watchdogs.;;;;
Climate & Biodiversity;MINING AND RESOURCE EXTRACTION;Mining waste and hazardous chemical management;Identified in the IPBES assessment as a driver of nature degradation and included in the EU Taxonomy regarding the management of mining waste,. It presents a critical trade-off regarding the extraction of minerals necessary for the energy transition.;Management of toxic pollutants, tailings, and emissions from mining activities to prevent degradation of water and soil quality.;"""mine tailings management"", ""tailing storage facilities"", ""acid mine drainage"", ""heavy metal contamination"", ""hazardous mineral waste"", ""cyanide leaching"", ""mineral extraction effluent"", ""Global Industry Standard on Tailings Management"", ""EU Mining Waste Directive"", ""Minamata Convention"", ""International Council on Mining and Metals"", ""Basel Convention"", ""tailing dam failure"", ""toxic sludge spill"", ""water table poisoning"", ""cleanup liability gap"", ""dirty mining legacy""";Waste management firms, mining engineers, health agencies, and local residents.;;;;
Climate & Biodiversity;MINING AND RESOURCE EXTRACTION;Resource use efficiency and circularity in extraction;Identified in the IPBES assessment as a driver of nature degradation and included in the EU Taxonomy regarding the management of mining waste,. It presents a critical trade-off regarding the extraction of minerals necessary for the energy transition.;Improving existing industrial processes and infrastructure in the extraction sector to increase resource-use efficiency and reduce environmental footprints.;"""mineral resource efficiency"", ""secondary raw materials recovery"", ""circular mining processes"", ""tailings repurposing"", ""industrial symbiosis mining"", ""low-waste extraction"", ""mine-to-market optimization"", ""Circular Economy Action Plan"", ""ISO 14001"", ""United Nations Framework Classification for Resources"", ""European Innovation Partnership on Raw Materials"", ""Waste Framework Directive"", ""efficiency greenwashing"", ""technical feasibility gap"", ""mining rebound effect"", ""downcycling minerals"", ""investment barrier""";Industrial technology providers, mining operators, efficiency consultants, and material scientists.;;;;
Climate & Biodiversity;MINING AND RESOURCE EXTRACTION;Impact of illegal and small-scale mining;Identified in the IPBES assessment as a driver of nature degradation and included in the EU Taxonomy regarding the management of mining waste,. It presents a critical trade-off regarding the extraction of minerals necessary for the energy transition.;Management of the widespread environmental and social impacts caused by untraceable illegal and small-scale mining in biodiversity-relevant locations.;"""artisanal small-scale mining"", ""illegal gold mining"", ""wildcat mining operations"", ""mercury-based extraction"", ""unpermitted pit mining"", ""untraceable mineral supply"", ""conflict mineral trade"", ""OECD Due Diligence Guidance"", ""Kimberley Process"", ""Interpol Environmental Crime"", ""CITES"", ""United Nations Convention against Transnational Organized Crime"", ""blood gold"", ""forced displacement"", ""mercury poisoning"", ""organized crime mining"", ""social conflict""";Law enforcement, local communities, artisanal miners, and human rights NGOs.;;;;
Climate & Biodiversity;INFRASTRUCTURE AND LAND-USE PLANNING;Linear infrastructure expansion (Roads and Rail);Structured by SDG 9, this sector is analyzed by the IPCC for its role in resilience capacity and by IPBES for its impacts on habitat fragmentation and biodiversity loss,,.;Global expansion of paved road lengths and rail networks that facilitates economic development but results in significant land-use change, deforestation, and habitat fragmentation.;"""paved road length"", ""transport corridors"", ""linear infrastructure expansion"", ""railway network development"", ""habitat fragmentation"", ""ecosystem connectivity"", ""unprecedented infrastructure growth"", ""Global Road Map"", ""Convention on Migratory Species"", ""Trans-European Transport Network (TEN-T)"", ""IUCN Connectivity Conservation"", ""Sustainable Infrastructure Tool"", ""land grabbing"", ""population displacement"", ""environmental social costs"", ""illegal logging access"", ""forest clearing for roads""";National governments, construction corporations, transport departments, and land-use planners.;;;;
Climate & Biodiversity;INFRASTRUCTURE AND LAND-USE PLANNING;Hydroelectric dams and reservoirs;Structured by SDG 9, this sector is analyzed by the IPCC for its role in resilience capacity and by IPBES for its impacts on habitat fragmentation and biodiversity loss,,.;Construction of large-scale dams and reservoirs for renewable energy and water storage that impacts freshwater ecosystem flow regimes and disrupts local communities,.;"""hydroelectric dams"", ""river flow regimes"", ""aquatic fragmentation"", ""reservoir storage capacity"", ""river blocking"", ""biological barriers"", ""catchment management"", ""World Commission on Dams"", ""International Hydropower Association"", ""SDG Target 9.1"", ""EU Water Framework Directive"", ""International Commission on Large Dams"", ""ecosystem drowning"", ""social disruption"", ""forced relocation"", ""sedimentation risks"", ""river connectivity loss""";Energy utility companies, hydraulic engineers, agricultural sectors, and indigenous communities,.;;;;
Climate & Biodiversity;INFRASTRUCTURE AND LAND-USE PLANNING;Coastal defense and adaptation infrastructure;Structured by SDG 9, this sector is analyzed by the IPCC for its role in resilience capacity and by IPBES for its impacts on habitat fragmentation and biodiversity loss,,.;Hard engineering solutions such as seawalls and dikes designed to protect coastal settlements from sea-level rise, which may cause unintended environmental harm or maladaptation,.;"""sea-level rise adaptation"", ""storm surge barriers"", ""coastal defense infrastructure"", ""shoreline hardening"", ""dike construction"", ""coastal protection engineering"", ""hard adaptation solutions"", ""Sendai Framework"", ""SROCC report"", ""Green Climate Fund"", ""Coastal Cities Network"", ""EU Adaptation Strategy"", ""maladaptation"", ""coastal squeeze"", ""vulnerability lock-in"", ""inequitable protection"", ""grey infrastructure bias""";Civil engineering firms, coastal municipalities, insurance companies, and residents in low-lying areas,.;;;;
Climate & Biodiversity;INFRASTRUCTURE AND LAND-USE PLANNING;Disaster risk management and early warning systems;Structured by SDG 9, this sector is analyzed by the IPCC for its role in resilience capacity and by IPBES for its impacts on habitat fragmentation and biodiversity loss,,.;Implementation of technical systems and institutional frameworks to monitor climate hazards and provide early warnings for extreme events like floods and heatwaves,.;"""early warning systems"", ""disaster risk management"", ""climate hazard monitoring"", ""contingency planning"", ""emergency response capacity"", ""hazard alerts"", ""risk reduction framework"", ""UNDRR"", ""WMO Early Warnings for All"", ""Global Adaptation Network"", ""SDG Target 13.3"", ""Red Cross Climate Centre"", ""funding gaps"", ""implementation lag"", ""last-mile connectivity"", ""data accessibility"", ""risk perception gap""";Emergency management agencies, meteorological services, technology providers, and humanitarian NGOs,.;;;;
Climate & Biodiversity;INFRASTRUCTURE AND LAND-USE PLANNING;Integrated spatial and urban planning;Structured by SDG 9, this sector is analyzed by the IPCC for its role in resilience capacity and by IPBES for its impacts on habitat fragmentation and biodiversity loss,,.;Coordination of land-use to achieve compact urban forms and co-location of jobs and housing, aiming to reduce energy demand and minimize conversion of natural ecosystems,.;"""compact urban form"", ""job-housing co-location"", ""urban densification"", ""spatial planning integration"", ""mixed-use development"", ""transit-oriented development"", ""urban urbanization strategies"", ""UN-Habitat"", ""New Urban Agenda"", ""C40 Cities"", ""SDG Target 11.3"", ""Local Governments for Sustainability (ICLEI)"", ""urban sprawl"", ""green gentrification"", ""land competition"", ""forced displacement"", ""housing affordability crisis""";Urban planners, real estate developers, local authorities, and conservation organizations,.;;;;
Climate & Biodiversity;HUMAN HEALTH AND WELL-BEING;Climate-sensitive infectious and vector-borne diseases;Structured by SDG 9, this sector is analyzed by the IPCC for its role in resilience capacity and by IPBES for its impacts on habitat fragmentation and biodiversity loss,,.;Management of health risks associated with the changing distribution and intensity of food-borne, water-borne, and vector-borne diseases driven by climate change,,.;"""vector-borne disease distribution"", ""zoonotic disease emergence"", ""epidemiological risk mapping"", ""climate-driven disease transmission"", ""pathogen range expansion"", ""water-borne disease outbreaks"", ""infectious disease surveillance"", ""World Health Organization"", ""Global Health Security Agenda"", ""SDG Target 3.3"", ""WHO Infectious Hazard Management"", ""One Health High-Level Expert Panel"", ""pandemic risk anxiety"", ""vaccine equity gap"", ""biosecurity breach fears"", ""zoonotic spillover debate"", ""health surveillance privacy""";Public health authorities, medical researchers, pharmaceutical companies, and international health organizations.;;;;
Climate & Biodiversity;HUMAN HEALTH AND WELL-BEING;Heat-health action plans and thermal regulation;Structured by SDG 9, this sector is analyzed by the IPCC for its role in resilience capacity and by IPBES for its impacts on habitat fragmentation and biodiversity loss,,.;Implementation of strategies and early warning response systems to reduce human mortality and morbidity during extreme heat events.;"""heat-health action plans"", ""extreme heat mortality"", ""urban heat island mitigation"", ""thermal regulation measures"", ""hyperthermia risk threshold"", ""cooling center accessibility"", ""occupational heat stress"", ""Sendai Framework"", ""Global Heat Health Information Network"", ""WMO-WHO Joint Office"", ""Red Cross Climate Centre"", ""EU Adaptation Strategy"", ""energy poverty cooling"", ""wet-bulb temperature limit"", ""worker safety violations"", ""inequitable heat exposure"", ""preventable summer deaths""";Municipal health departments, emergency services, geriatric care providers, and labor unions,.;;;;
Climate & Biodiversity;HUMAN HEALTH AND WELL-BEING;Mental health and climate-related displacement;Structured by SDG 9, this sector is analyzed by the IPCC for its role in resilience capacity and by IPBES for its impacts on habitat fragmentation and biodiversity loss,,.;Provision of psychological support and social protection for individuals facing mental health challenges and forced displacement due to climate-related disasters,,.;"""climate-related displacement"", ""forced migration patterns"", ""disaster-induced trauma"", ""psychosocial health impacts"", ""environmental migrant status"", ""planned relocation strategies"", ""post-disaster mental health"", ""UNHCR Climate Change"", ""International Organization for Migration"", ""Platform on Disaster Displacement"", ""Nansen Initiative"", ""SDG Target 10.7"", ""climate refugee legal-gap"", ""eco-anxiety"", ""loss of cultural identity"", ""forced resettlement conflict"", ""migration sovereignty debate""";Mental health practitioners, social NGOs, disaster relief agencies, and displaced community advocates,.;;;;
Climate & Biodiversity;HUMAN HEALTH AND WELL-BEING;Pollution impacts on human health (Air, Water, Soil);Structured by SDG 9, this sector is analyzed by the IPCC for its role in resilience capacity and by IPBES for its impacts on habitat fragmentation and biodiversity loss,,.;Reducing illnesses and deaths caused by hazardous chemicals and air, water, and soil pollution, which are exacerbated by industrial, mining, and agricultural activities,,.;"""ambient air quality"", ""hazardous chemical exposure"", ""non-point source pollution"", ""environmental health burden"", ""soil contamination remediation"", ""industrial pollutant discharge"", ""toxic waste exposure"", ""REACH regulation"", ""Stockholm Convention"", ""WHO Air Quality Guidelines"", ""Minamata Convention"", ""Basel Convention"", ""toxic dumping scandal"", ""polluter pays enforcement"", ""cancer cluster fears"", ""corporate chemical lobbying"", ""regulatory compliance gap""";Environmental protection agencies, industrial manufacturers, agribusinesses, and public health services,.;;;;
Climate & Biodiversity;ECONOMIC AND FINANCIAL SYSTEMS;Sustainable finance classification and Unified Taxonomy;A governance sector structured by SDG 17, serving as the regulatory framework for the EU Taxonomy and identified as a lever for systemic transformation (D10) by IPBES,,.;Establishment of a unified classification system for sustainable activities to reorient capital flows towards investments that contribute to environmental objectives,,.;"""technical screening criteria"", ""unified classification system"", ""environmentally sustainable economic activities"", ""do no significant harm principle"", ""substantial contribution criteria"", ""technical robust classification"", ""taxonomy regulation framework"", ""EU Taxonomy Regulation"", ""Platform on Sustainable Finance"", ""European Supervisory Authorities"", ""EU Technical Expert Group"", ""Member State Expert Group on Sustainable Finance"", ""greenwashing risk"", ""market fragmentation"", ""compliance administrative burden"", ""investment comparative burden"", ""criteria granularity debate""";Financial institutions, institutional investors, regulators, and large non-financial companies,.;;;;
Climate & Biodiversity;ECONOMIC AND FINANCIAL SYSTEMS;Reform and elimination of environmentally harmful subsidies;A governance sector structured by SDG 17, serving as the regulatory framework for the EU Taxonomy and identified as a lever for systemic transformation (D10) by IPBES,,.;Phasing out or reforming economic incentives, such as fossil fuel or agricultural subsidies, that favor unsustainable production and promote environmental degradation,,.;"""harmful subsidies elimination"", ""perverse economic incentives"", ""fossil fuel subsidies"", ""fishery overcapacity subsidies"", ""market distortions removal"", ""unsustainable practice incentives"", ""agricultural export subsidies"", ""Doha Development Round"", ""World Trade Organization fisheries negotiation"", ""OECD agricultural support"", ""Common Fisheries Policy"", ""Convention on Biological Diversity Target 3"", ""vested interests opposition"", ""regressive distributional impacts"", ""political opposition barriers"", ""hidden environmental costs"", ""consumer price volatility""";Finance ministries, industrial lobbies, agricultural unions, and international organizations,.;;;;
Climate & Biodiversity;ECONOMIC AND FINANCIAL SYSTEMS;Carbon pricing and economic instruments;A governance sector structured by SDG 17, serving as the regulatory framework for the EU Taxonomy and identified as a lever for systemic transformation (D10) by IPBES,,.;Use of regulatory and economic instruments, including carbon taxes and emissions trading, to incentivize low-cost emissions reduction and support deep decarbonization.;"""carbon pricing instruments"", ""emissions trading systems"", ""internalizing environmental externalities"", ""polluter pays principle"", ""carbon tax implementation"", ""regulatory economic instruments"", ""cap-and-trade programmes"", ""EU Emissions Trading System"", ""UNFCCC mitigation actions"", ""Greenhouse Gas inventories"", ""IPCC mitigation pathways"", ""International Monetary Fund"", ""carbon leakage risk"", ""industrial competitiveness loss"", ""carbon-intensive lock-in"", ""mitigation cost-effectiveness debate"", ""socially unjust taxation""";Central banks, environmental regulators, heavy emitters, and carbon market participants,.;;;;
Climate & Biodiversity;ECONOMIC AND FINANCIAL SYSTEMS;Corporate sustainability reporting and KPIs;A governance sector structured by SDG 17, serving as the regulatory framework for the EU Taxonomy and identified as a lever for systemic transformation (D10) by IPBES,,.;Mandatory or voluntary publication of key performance indicators (KPIs) by undertakings to disclose the proportion of their activities associated with environmentally sustainable economic activities,,.;"""non-financial statement disclosure"", ""sustainability reporting cycle"", ""alignment with screening criteria"", ""turnover CapEx OpEx ratios"", ""sustainability key performance indicators"", ""sustainability disclosure requirements"", ""impact assessment reporting"", ""Sustainable Finance Disclosure Regulation"", ""Non-Financial Reporting Directive"", ""EU Eco-management and Audit Scheme"", ""Global Reporting Initiative"", ""Task Force on Climate-related Financial Disclosures"", ""non-financial reporting greenwashing"", ""data availability constraints"", ""corporate accountability gap"", ""proprietary information restrictions"", ""audit verification burden""";Large corporations, financial market participants, audit firms, and competent national authorities,.;;;;
Climate & Biodiversity;ECONOMIC AND FINANCIAL SYSTEMS;International climate finance and the $100 billion goal;A governance sector structured by SDG 17, serving as the regulatory framework for the EU Taxonomy and identified as a lever for systemic transformation (D10) by IPBES,,.;Mobilization of financial resources from developed to developing countries to address the needs of climate change mitigation and adaptation,,.;"""international climate finance"", ""climate finance flows"", ""concessional financial assistance"", ""mobilizing private finance"", ""adaptation funding gap"", ""mitigation action transparency"", ""official development assistance flows"", ""Green Climate Fund"", ""UNFCCC financial mechanism"", ""Addis Ababa Action Agenda"", ""Global Environment Facility"", ""Doha Declaration on Financing for Development"", ""unfulfilled $100 billion goal"", ""debt sustainability distress"", ""asymmetric finance access"", ""donor pledge breach"", ""climate justice inequities""";Donor agencies, developing country governments, global climate funds, and international financial institutions,.;;;;
Climate & Biodiversity;ECONOMIC AND FINANCIAL SYSTEMS;Structural economic transformation and beyond-GDP metrics;A governance sector structured by SDG 17, serving as the regulatory framework for the EU Taxonomy and identified as a lever for systemic transformation (D10) by IPBES,,.;Shifting from current limited paradigms of economic growth toward holistic, long-term models that incorporate inequality reduction and internalize environmental impacts,.;"""structural economic transformation"", ""beyond GDP indicators"", ""inclusive wealth accounting"", ""natural capital accounting"", ""system-wide fundamental reorganization"", ""holistic long-term economics"", ""decoupling economic growth"", ""UN Statistical Commission"", ""IPBES Global Assessment"", ""SDG Target 17.19"", ""Rio Declaration on Environment and Development"", ""Platform on Biodiversity and Ecosystem Services"", ""economic growth paradigm"", ""ever-increasing material consumption"", ""status quo vested interests"", ""global inequality reduction"", ""planetary boundaries breach""";Economic researchers, policy-makers, civil society organizations, and international governance bodies,.;;;;
Climate & Biodiversity;SUSTAINABLE TOURISM;Carbon footprint of tourism-related travel;Explicitly mentioned as an economic sector dependent on biodiversity in SDG 8.9 and IPBES, while being analyzed by the IPCC for its high exposure to climate-related damages,,.;Management of the total greenhouse gas emissions resulting from the rapid growth of tourism-related transportation, particularly airborne and seaborne travel.;"""tourism carbon footprint"", ""travel-related emissions"", ""airborne travel emissions"", ""seaborne travel pollution"", ""long-distance transportation emissions"", ""tourism greenhouse gas intensity"", ""passenger-kilometer carbon footprint"", ""UNWTO"", ""International Civil Aviation Organization"", ""CORSIA"", ""International Maritime Organization"", ""SDG Target 13.2"", ""flight shaming"", ""overtourism emissions"", ""tourism carbon leakage"", ""unabated travel growth"", ""tourism energy intensity""";Airline industry, cruise lines, travel agencies, and international transport regulators.;;;;
Climate & Biodiversity;SUSTAINABLE TOURISM;Sustainable tourism policies and local products;Explicitly mentioned as an economic sector dependent on biodiversity in SDG 8.9 and IPBES, while being analyzed by the IPCC for its high exposure to climate-related damages,,.;Development and implementation of policies to promote tourism that creates jobs, promotes local culture, and uses biodiversity-friendly management,,.;"""sustainable tourism management"", ""local product promotion"", ""biodiversity-friendly tourism"", ""ecotourism scale"", ""job-creating tourism"", ""cultural heritage protection"", ""tourism monitoring tools"", ""Global Sustainable Tourism Council"", ""UNESCO World Heritage Convention"", ""SDG Target 8.9"", ""SDG Target 12.b"", ""10-Year Framework of Programmes"", ""ecotourism greenwashing"", ""cultural commodification"", ""tourism-driven displacement"", ""livelihood vs conservation"", ""tourism economic vulnerability""";Local communities, indigenous peoples, tourism boards, and small-scale entrepreneurs,.;;;;
Climate & Biodiversity;SUSTAINABLE TOURISM;Invasive alien species introduction via tourism;Explicitly mentioned as an economic sector dependent on biodiversity in SDG 8.9 and IPBES, while being analyzed by the IPCC for its high exposure to climate-related damages,,.;Management of the increased presence and spread of invasive alien species resulting from high-volume seaborne and airborne transportation for tourism.;"""invasive alien species"", ""introduction pathways"", ""seaborne species introduction"", ""airborne travel vectors"", ""pathway management"", ""biosecurity risk"", ""alien species presence"", ""Convention on Biological Diversity"", ""IPBES Global Assessment"", ""IUCN Invasive Species Specialist Group"", ""International Plant Protection Convention"", ""SDG Target 15.8"", ""invasive species hitchhiking"", ""global connectivity risks"", ""biosecurity enforcement gaps"", ""unintended species spread"", ""native species threat""";Biosecurity agencies, port authorities, airline operators, and environmental NGOs.;;;;
Biodiversity;WATER MANAGEMENT AND SANITATION;Universal access to safe and affordable drinking water;A central sector of SDG 6, defined as a major environmental objective in Article 12 of the EU Taxonomy and a key domain for restorative management for IPBES,,.;Ensuring equitable access to safe and affordable drinking water for all, including the protection of water sources from contamination to safeguard human health.;"""safe drinking water"", ""affordable drinking water"", ""potable water access"", ""point-of-use treatment"", ""drinking water affordability"", ""piped water supply"", ""water source protection"", ""SDG Target 6.1"", ""WHO Guidelines for Drinking-water Quality"", ""UN-Water"", ""WaterAid"", ""Safe Water Network"", ""water privatization"", ""water affordability crisis"", ""bottled water lobby"", ""inequitable water access"", ""tap water contamination""";Public water utilities, municipal governments, health organizations, and rural communities.;;;;
